root_uid	eventmention_id	child_uid	textoffset_startchar	textoffset_endchar	text_string	mediamention_signaltype	mediamention_starttime	mediamention_endtime	keyframe_id	mediamention_coordinates	description	type	subtype	subsubtype	qnode_type_id	attribute	qnode_attribute_id	start_date_type	start_date	end_date_type	end_date
L0C0492UF	EVL0C04958V.000001	L0C04958V	161	168	outbreak	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	From the early stages of the coronavirus outbreak, conspiracy theories about the origin and scale of the disease were spread on online platforms.	disaster	diseaseoutbreak	unspecified	outbreak	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA
L0C0492UF	EVL0C04958V.000002	L0C04958V	466	470	claim	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	The claim that the virus was man-made has been pushed by numerous conspiracy groups on Facebook, obscure Twitter accounts and even found its way on to primetime Russian state TV.	contact	contact	unspecified	Q11024	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA
L0C0492UF	EVL0C04958V.000003	L0C04958V	1027	1030	said	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	On 12 March, he said in a tweet that it might have been the US army that brought the virus to Wuhan.	contact	mediastatement	broadcast	broadcasting	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA
L0C0492UF	EVL0C04958V.000004	L0C04958V	662	669	outbreak	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	And months into the outbreak, not only have these theories not faded away, but new, unverified claims have been promoted by government officials, senior politicians and media outlets in China and the US.	disaster	diseaseoutbreak	unspecified	outbreak	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA
L0C0492UF	EVL0C04958V.000005	L0C04958V	924	931	promoted	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	Zhao Lijian, a Chinese foreign ministry spokesman, has repeatedly promoted the idea - without evidence - that Covid-19 might have originated in the US.	contact	contact	broadcast	Q567303	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA
L0C0492UF	EVL0C04958V.000006	L0C04958V	2664	2670	tweeted	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	The article Mr Zhao tweeted was penned by regular contributor Larry Romanoff, who reiterates the conclusion from his earlier piece - now deleted - that the virus did not originate in China.	contact	contact	broadcast	Q567303	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA
L0C0492UF	EVL0C04958V.000007	L0C04958V	2979	2986	outbreak	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	But the Chinese research and articles in the magazine Science that he quotes do not actually call into question China being the place where the outbreak started.	disaster	diseaseoutbreak	unspecified	outbreak	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA
L0C0492UF	EVL0C04958V.000008	L0C04958V	3016	3022	suggest	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	Instead, they only suggest that specifically the animal market in Wuhan may not have been the origin of the new coronavirus.	contact	contact	broadcast	Q567303	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA
L0C0492UF	EVL0C04958V.000009	L0C04958V	3140	3145	claims	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	Mr Romanoff also claims that Japanese and Taiwanese scientists "have determined that the new coronavirus could have originated in the US".	contact	contact	broadcast	Q567303	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA
L0C0492UF	EVL0C04958V.000010	L0C04958V	3632	3637	claims	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	Mr Romanoff also claims - without evidence - that the US military germ laboratory in Fort Detrick, Maryland, may have been the original source of the virus.	contact	contact	broadcast	Q567303	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA
